date1,date2,date3,date4,date5,date6,date7,date8,pce,pop,psavert,uempmed,unemploy
1999-04-01,19990401,1999m4,Apr 1999,"April 01, 1999",01-Apr-1999,April 01 (1999),04/01/99,6196.2,278451,5.2,6.2,6004
1999-05-01,19990501,1999m5,May 1999,"May 01, 1999",01-May-1999,May 01 (1999),05/01/99,6225.7,278717,4.9,6.5,5796
1999-06-01,19990601,1999m6,Jun 1999,"June 01, 1999",01-Jun-1999,June 01 (1999),06/01/99,6254,279001,4.8,6.3,5951
1999-07-01,19990701,1999m7,Jul 1999,"July 01, 1999",01-Jul-1999,July 01 (1999),07/01/99,6281.5,279295,4.8,5.8,6025
1999-08-01,19990801,1999m8,Aug 1999,"August 01, 1999",01-Aug-1999,August 01 (1999),08/01/99,6326.5,279602,4.7,6.5,5838
1999-09-01,19990901,1999m9,Sep 1999,"September 01, 1999",01-Sep-1999,September 01 (1999),09/01/99,6378.8,279903,4.2,6,5915
1999-10-01,19991001,1999m10,Oct 1999,"October 01, 1999",01-Oct-1999,October 01 (1999),10/01/99,6402.1,280203,4.6,6.1,5778
1999-11-01,19991101,1999m11,Nov 1999,"November 01, 1999",01-Nov-1999,November 01 (1999),11/01/99,6437.9,280471,4.8,6.2,5716
1999-12-01,19991201,1999m12,Dec 1999,"December 01, 1999",01-Dec-1999,December 01 (1999),12/01/99,6538.7,280716,4.4,5.8,5653
2000-01-01,20000101,2000m1,Jan 2000,"January 01, 2000",01-Jan-2000,January 01 (2000),01/01/00,6535.3,280976,5.4,5.8,5708
2000-02-01,20000201,2000m2,Feb 2000,"February 01, 2000",01-Feb-2000,February 01 (2000),02/01/00,6619.7,281190,4.8,6.1,5858
2000-03-01,20000301,2000m3,Mar 2000,"March 01, 2000",01-Mar-2000,March 01 (2000),03/01/00,6685.8,281409,4.5,6,5733
2000-04-01,20000401,2000m4,Apr 2000,"April 01, 2000",01-Apr-2000,April 01 (2000),04/01/00,6671.1,281653,5,6.1,5481
2000-05-01,20000501,2000m5,May 2000,"May 01, 2000",01-May-2000,May 01 (2000),05/01/00,6707.6,281877,4.9,5.8,5758
2000-06-01,20000601,2000m6,Jun 2000,"June 01, 2000",01-Jun-2000,June 01 (2000),06/01/00,6743.9,282126,4.9,5.7,5651
2000-07-01,20000701,2000m7,Jul 2000,"July 01, 2000",01-Jul-2000,July 01 (2000),07/01/00,6764.1,282385,5.2,6,5747
2000-08-01,20000801,2000m8,Aug 2000,"August 01, 2000",01-Aug-2000,August 01 (2000),08/01/00,6799.1,282653,5.2,6.3,5853
2000-09-01,20000901,2000m9,Sep 2000,"September 01, 2000",01-Sep-2000,September 01 (2000),09/01/00,6882.9,282932,4.5,5.2,5625
2000-10-01,20001001,2000m10,Oct 2000,"October 01, 2000",01-Oct-2000,October 01 (2000),10/01/00,6888.2,283201,4.6,6.1,5534
2000-11-01,20001101,2000m11,Nov 2000,"November 01, 2000",01-Nov-2000,November 01 (2000),11/01/00,6902.4,283453,4.5,6.1,5639
2000-12-01,20001201,2000m12,Dec 2000,"December 01, 2000",01-Dec-2000,December 01 (2000),12/01/00,6945.7,283696,4.2,6,5634
2001-01-01,20010101,2001m1,Jan 2001,"January 01, 2001",01-Jan-2001,January 01 (2001),01/01/01,6977,283920,4.8,5.8,6023
2001-02-01,20010201,2001m2,Feb 2001,"February 01, 2001",01-Feb-2001,February 01 (2001),02/01/01,6995.8,284137,4.9,6.1,6089
2001-03-01,20010301,2001m3,Mar 2001,"March 01, 2001",01-Mar-2001,March 01 (2001),03/01/01,6987.9,284350,5.3,6.6,6141
2001-04-01,20010401,2001m4,Apr 2001,"April 01, 2001",01-Apr-2001,April 01 (2001),04/01/01,7001.2,284581,5,5.9,6271
2001-05-01,20010501,2001m5,May 2001,"May 01, 2001",01-May-2001,May 01 (2001),05/01/01,7047.1,284810,4.5,6.3,6226
2001-06-01,20010601,2001m6,Jun 2001,"June 01, 2001",01-Jun-2001,June 01 (2001),06/01/01,7060.7,285062,4.5,6,6484
2001-07-01,20010701,2001m7,Jul 2001,"July 01, 2001",01-Jul-2001,July 01 (2001),07/01/01,7072.2,285309,5.6,6.8,6583
2001-08-01,20010801,2001m8,Aug 2001,"August 01, 2001",01-Aug-2001,August 01 (2001),08/01/01,7108.9,285570,6.8,6.9,7042
2001-09-01,20010901,2001m9,Sep 2001,"September 01, 2001",01-Sep-2001,September 01 (2001),09/01/01,7012.8,285843,7,7.2,7142
2001-10-01,20011001,2001m10,Oct 2001,"October 01, 2001",01-Oct-2001,October 01 (2001),10/01/01,7208.4,286098,3.4,7.3,7694
2001-11-01,20011101,2001m11,Nov 2001,"November 01, 2001",01-Nov-2001,November 01 (2001),11/01/01,7167.9,286341,4.1,7.7,8003
2001-12-01,20011201,2001m12,Dec 2001,"December 01, 2001",01-Dec-2001,December 01 (2001),12/01/01,7147.7,286570,4.5,8.2,8258
2002-01-01,20020101,2002m1,Jan 2002,"January 01, 2002",01-Jan-2002,January 01 (2002),01/01/02,7174.3,286788,6.1,8.4,8182
2002-02-01,20020201,2002m2,Feb 2002,"February 01, 2002",01-Feb-2002,February 01 (2002),02/01/02,7218.3,286994,5.8,8.3,8215
2002-03-01,20020301,2002m3,Mar 2002,"March 01, 2002",01-Mar-2002,March 01 (2002),03/01/02,7237.2,287190,5.9,8.4,8304
2002-04-01,20020401,2002m4,Apr 2002,"April 01, 2002",01-Apr-2002,April 01 (2002),04/01/02,7305.4,287397,5.8,8.9,8599
2002-05-01,20020501,2002m5,May 2002,"May 01, 2002",01-May-2002,May 01 (2002),05/01/02,7282.7,287623,6.5,9.5,8399
2002-06-01,20020601,2002m6,Jun 2002,"June 01, 2002",01-Jun-2002,June 01 (2002),06/01/02,7318.2,287864,6.4,11,8393
2002-07-01,20020701,2002m7,Jul 2002,"July 01, 2002",01-Jul-2002,July 01 (2002),07/01/02,7380.4,288105,5.5,8.9,8390
2002-08-01,20020801,2002m8,Aug 2002,"August 01, 2002",01-Aug-2002,August 01 (2002),08/01/02,7401.5,288360,5.4,9,8304
2002-09-01,20020901,2002m9,Sep 2002,"September 01, 2002",01-Sep-2002,September 01 (2002),09/01/02,7391,288618,5.7,9.5,8251
2002-10-01,20021001,2002m10,Oct 2002,"October 01, 2002",01-Oct-2002,October 01 (2002),10/01/02,7430.7,288870,5.7,9.6,8307
2002-11-01,20021101,2002m11,Nov 2002,"November 01, 2002",01-Nov-2002,November 01 (2002),11/01/02,7459.7,289106,5.7,9.3,8520
2002-12-01,20021201,2002m12,Dec 2002,"December 01, 2002",01-Dec-2002,December 01 (2002),12/01/02,7512.8,289313,5.5,9.6,8640
2003-01-01,20030101,2003m1,Jan 2003,"January 01, 2003",01-Jan-2003,January 01 (2003),01/01/03,7533.1,289518,5.5,9.6,8520
2003-02-01,20030201,2003m2,Feb 2003,"February 01, 2003",01-Feb-2003,February 01 (2003),02/01/03,7535.9,289714,5.6,9.5,8618
2003-03-01,20030301,2003m3,Mar 2003,"March 01, 2003",01-Mar-2003,March 01 (2003),03/01/03,7598.4,289911,5.3,9.7,8588
2003-04-01,20030401,2003m4,Apr 2003,"April 01, 2003",01-Apr-2003,April 01 (2003),04/01/03,7621,290125,5.3,10.2,8842
2003-05-01,20030501,2003m5,May 2003,"May 01, 2003",01-May-2003,May 01 (2003),05/01/03,7628.1,290346,5.8,9.9,8957
2003-06-01,20030601,2003m6,Jun 2003,"June 01, 2003",01-Jun-2003,June 01 (2003),06/01/03,7678.6,290584,5.6,11.5,9266
2003-07-01,20030701,2003m7,Jul 2003,"July 01, 2003",01-Jul-2003,July 01 (2003),07/01/03,7738.2,290820,6.3,10.3,9011
2003-08-01,20030801,2003m8,Aug 2003,"August 01, 2003",01-Aug-2003,August 01 (2003),08/01/03,7834.5,291072,6,10.1,8896
2003-09-01,20030901,2003m9,Sep 2003,"September 01, 2003",01-Sep-2003,September 01 (2003),09/01/03,7835,291321,5.2,10.2,8921
2003-10-01,20031001,2003m10,Oct 2003,"October 01, 2003",01-Oct-2003,October 01 (2003),10/01/03,7845.7,291574,5.3,10.4,8732
2003-11-01,20031101,2003m11,Nov 2003,"November 01, 2003",01-Nov-2003,November 01 (2003),11/01/03,7899.6,291807,5.4,10.3,8576
2003-12-01,20031201,2003m12,Dec 2003,"December 01, 2003",01-Dec-2003,December 01 (2003),12/01/03,7929.2,292008,5.4,10.4,8317
2004-01-01,20040101,2004m1,Jan 2004,"January 01, 2004",01-Jan-2004,January 01 (2004),01/01/04,7987.4,292192,5,10.6,8370
2004-02-01,20040201,2004m2,Feb 2004,"February 01, 2004",01-Feb-2004,February 01 (2004),02/01/04,8019.8,292368,5,10.2,8167
2004-03-01,20040301,2004m3,Mar 2004,"March 01, 2004",01-Mar-2004,March 01 (2004),03/01/04,8076,292561,4.9,10.2,8491
2004-04-01,20040401,2004m4,Apr 2004,"April 01, 2004",01-Apr-2004,April 01 (2004),04/01/04,8088.6,292779,5.3,9.5,8170
2004-05-01,20040501,2004m5,May 2004,"May 01, 2004",01-May-2004,May 01 (2004),05/01/04,8163.2,292997,5.3,9.9,8212
2004-06-01,20040601,2004m6,Jun 2004,"June 01, 2004",01-Jun-2004,June 01 (2004),06/01/04,8147.2,293223,5.8,11,8286
2004-07-01,20040701,2004m7,Jul 2004,"July 01, 2004",01-Jul-2004,July 01 (2004),07/01/04,8218.9,293463,5.3,8.9,8136
2004-08-01,20040801,2004m8,Aug 2004,"August 01, 2004",01-Aug-2004,August 01 (2004),08/01/04,8253.1,293719,5.2,9.2,7990
2004-09-01,20040901,2004m9,Sep 2004,"September 01, 2004",01-Sep-2004,September 01 (2004),09/01/04,8321.1,293971,4.6,9.6,7927
2004-10-01,20041001,2004m10,Oct 2004,"October 01, 2004",01-Oct-2004,October 01 (2004),10/01/04,8374.6,294230,4.5,9.5,8061
2004-11-01,20041101,2004m11,Nov 2004,"November 01, 2004",01-Nov-2004,November 01 (2004),11/01/04,8420.6,294466,4.1,9.7,7932
2004-12-01,20041201,2004m12,Dec 2004,"December 01, 2004",01-Dec-2004,December 01 (2004),12/01/04,8481.5,294694,6.9,9.5,7934
2005-01-01,20050101,2005m1,Jan 2005,"January 01, 2005",01-Jan-2005,January 01 (2005),01/01/05,8470.2,294914,3.7,9.4,7784
2005-02-01,20050201,2005m2,Feb 2005,"February 01, 2005",01-Feb-2005,February 01 (2005),02/01/05,8529.2,295105,3.4,9.2,7980
2005-03-01,20050301,2005m3,Mar 2005,"March 01, 2005",01-Mar-2005,March 01 (2005),03/01/05,8569.5,295287,3.6,9.3,7737
2005-04-01,20050401,2005m4,Apr 2005,"April 01, 2005",01-Apr-2005,April 01 (2005),04/01/05,8645.6,295490,3.1,9,7672
2005-05-01,20050501,2005m5,May 2005,"May 01, 2005",01-May-2005,May 01 (2005),05/01/05,8643.9,295704,3.5,9.1,7651
2005-06-01,20050601,2005m6,Jun 2005,"June 01, 2005",01-Jun-2005,June 01 (2005),06/01/05,8724.8,295936,2.9,9,7524
2005-07-01,20050701,2005m7,Jul 2005,"July 01, 2005",01-Jul-2005,July 01 (2005),07/01/05,8829.5,296186,2.2,8.8,7406
2005-08-01,20050801,2005m8,Aug 2005,"August 01, 2005",01-Aug-2005,August 01 (2005),08/01/05,8832.4,296440,2.7,9.2,7345
2005-09-01,20050901,2005m9,Sep 2005,"September 01, 2005",01-Sep-2005,September 01 (2005),09/01/05,8885.8,296707,2.7,8.4,7553
2005-10-01,20051001,2005m10,Oct 2005,"October 01, 2005",01-Oct-2005,October 01 (2005),10/01/05,8926.6,296972,3.1,8.6,7453
2005-11-01,20051101,2005m11,Nov 2005,"November 01, 2005",01-Nov-2005,November 01 (2005),11/01/05,8938.5,297207,3.5,8.5,7566
2005-12-01,20051201,2005m12,Dec 2005,"December 01, 2005",01-Dec-2005,December 01 (2005),12/01/05,8969.6,297431,3.7,8.7,7279
2006-01-01,20060101,2006m1,Jan 2006,"January 01, 2006",01-Jan-2006,January 01 (2006),01/01/06,9059.8,297647,4.2,8.6,7064
2006-02-01,20060201,2006m2,Feb 2006,"February 01, 2006",01-Feb-2006,February 01 (2006),02/01/06,9090.1,297854,4.2,9.1,7184
2006-03-01,20060301,2006m3,Mar 2006,"March 01, 2006",01-Mar-2006,March 01 (2006),03/01/06,9122.1,298060,4.2,8.7,7072
2006-04-01,20060401,2006m4,Apr 2006,"April 01, 2006",01-Apr-2006,April 01 (2006),04/01/06,9174.8,298281,4,8.4,7120
2006-05-01,20060501,2006m5,May 2006,"May 01, 2006",01-May-2006,May 01 (2006),05/01/06,9215.1,298496,3.8,8.5,6980
2006-06-01,20060601,2006m6,Jun 2006,"June 01, 2006",01-Jun-2006,June 01 (2006),06/01/06,9240.8,298739,4,7.3,7001
2006-07-01,20060701,2006m7,Jul 2006,"July 01, 2006",01-Jul-2006,July 01 (2006),07/01/06,9322.6,298996,3.4,8,7175
2006-08-01,20060801,2006m8,Aug 2006,"August 01, 2006",01-Aug-2006,August 01 (2006),08/01/06,9321.8,299263,3.6,8.4,7091
2006-09-01,20060901,2006m9,Sep 2006,"September 01, 2006",01-Sep-2006,September 01 (2006),09/01/06,9354.7,299554,3.6,8,6847
2006-10-01,20061001,2006m10,Oct 2006,"October 01, 2006",01-Oct-2006,October 01 (2006),10/01/06,9373.2,299835,3.6,7.9,6727
2006-11-01,20061101,2006m11,Nov 2006,"November 01, 2006",01-Nov-2006,November 01 (2006),11/01/06,9380.2,300094,3.9,8.3,6872
2006-12-01,20061201,2006m12,Dec 2006,"December 01, 2006",01-Dec-2006,December 01 (2006),12/01/06,9469,300340,3.7,7.5,6762
2007-01-01,20070101,2007m1,Jan 2007,"January 01, 2007",01-Jan-2007,January 01 (2007),01/01/07,9516.3,300574,3.7,8.3,7116
2007-02-01,20070201,2007m2,Feb 2007,"February 01, 2007",01-Feb-2007,February 01 (2007),02/01/07,9546.8,300802,4.1,8.5,6927
2007-03-01,20070301,2007m3,Mar 2007,"March 01, 2007",01-Mar-2007,March 01 (2007),03/01/07,9585.1,301021,4.4,9.1,6731
2007-04-01,20070401,2007m4,Apr 2007,"April 01, 2007",01-Apr-2007,April 01 (2007),04/01/07,9615.7,301254,4.2,8.6,6850
2007-05-01,20070501,2007m5,May 2007,"May 01, 2007",01-May-2007,May 01 (2007),05/01/07,9651.3,301483,4,8.2,6766
2007-06-01,20070601,2007m6,Jun 2007,"June 01, 2007",01-Jun-2007,June 01 (2007),06/01/07,9667.3,301739,3.8,7.7,6979
2007-07-01,20070701,2007m7,Jul 2007,"July 01, 2007",01-Jul-2007,July 01 (2007),07/01/07,9709.6,302004,3.7,8.7,7149
2007-08-01,20070801,2007m8,Aug 2007,"August 01, 2007",01-Aug-2007,August 01 (2007),08/01/07,9753.9,302267,3.4,8.8,7067
2007-09-01,20070901,2007m9,Sep 2007,"September 01, 2007",01-Sep-2007,September 01 (2007),09/01/07,9797.9,302546,3.5,8.7,7170
2007-10-01,20071001,2007m10,Oct 2007,"October 01, 2007",01-Oct-2007,October 01 (2007),10/01/07,9827,302807,3.4,8.4,7237
2007-11-01,20071101,2007m11,Nov 2007,"November 01, 2007",01-Nov-2007,November 01 (2007),11/01/07,9897.8,303054,3.1,8.6,7240
2007-12-01,20071201,2007m12,Dec 2007,"December 01, 2007",01-Dec-2007,December 01 (2007),12/01/07,9908.4,303287,3.6,8.4,7645
2008-01-01,20080101,2008m1,Jan 2008,"January 01, 2008",01-Jan-2008,January 01 (2008),01/01/08,9930,303506,3.7,9,7685
2008-02-01,20080201,2008m2,Feb 2008,"February 01, 2008",01-Feb-2008,February 01 (2008),02/01/08,9913.4,303711,4.1,8.7,7497
2008-03-01,20080301,2008m3,Mar 2008,"March 01, 2008",01-Mar-2008,March 01 (2008),03/01/08,9959.4,303907,4,8.7,7822
2008-04-01,20080401,2008m4,Apr 2008,"April 01, 2008",01-Apr-2008,April 01 (2008),04/01/08,9996.8,304117,3.4,9.4,7637
2008-05-01,20080501,2008m5,May 2008,"May 01, 2008",01-May-2008,May 01 (2008),05/01/08,10053.8,304323,7.8,7.9,8395
2008-06-01,20080601,2008m6,Jun 2008,"June 01, 2008",01-Jun-2008,June 01 (2008),06/01/08,10107.9,304556,5.5,9,8575
2008-07-01,20080701,2008m7,Jul 2008,"July 01, 2008",01-Jul-2008,July 01 (2008),07/01/08,10104.7,304798,4.4,9.7,8937
2008-08-01,20080801,2008m8,Aug 2008,"August 01, 2008",01-Aug-2008,August 01 (2008),08/01/08,10094.7,305045,3.8,9.7,9438
2008-09-01,20080901,2008m9,Sep 2008,"September 01, 2008",01-Sep-2008,September 01 (2008),09/01/08,10043.5,305309,4.7,10.2,9494
2008-10-01,20081001,2008m10,Oct 2008,"October 01, 2008",01-Oct-2008,October 01 (2008),10/01/08,9960.3,305554,5.5,10.4,10074
2008-11-01,20081101,2008m11,Nov 2008,"November 01, 2008",01-Nov-2008,November 01 (2008),11/01/08,9820.8,305786,6.4,9.8,10538
2008-12-01,20081201,2008m12,Dec 2008,"December 01, 2008",01-Dec-2008,December 01 (2008),12/01/08,9730.7,306004,6.4,10.5,11286
2009-01-01,20090101,2009m1,Jan 2009,"January 01, 2009",01-Jan-2009,January 01 (2009),01/01/09,9783.8,306208,6.2,10.7,12058
2009-02-01,20090201,2009m2,Feb 2009,"February 01, 2009",01-Feb-2009,February 01 (2009),02/01/09,9766,306402,5.5,11.7,12898
2009-03-01,20090301,2009m3,Mar 2009,"March 01, 2009",01-Mar-2009,March 01 (2009),03/01/09,9718.5,306588,5.9,12.3,13426
2009-04-01,20090401,2009m4,Apr 2009,"April 01, 2009",01-Apr-2009,April 01 (2009),04/01/09,9724.8,306787,6.8,13.1,13853
2009-05-01,20090501,2009m5,May 2009,"May 01, 2009",01-May-2009,May 01 (2009),05/01/09,9748.9,306984,8.2,14.2,14499
2009-06-01,20090601,2009m6,Jun 2009,"June 01, 2009",01-Jun-2009,June 01 (2009),06/01/09,9806.9,307206,6.7,17.2,14707
2009-07-01,20090701,2009m7,Jul 2009,"July 01, 2009",01-Jul-2009,July 01 (2009),07/01/09,9841.7,307439,6,16,14601
2009-08-01,20090801,2009m8,Aug 2009,"August 01, 2009",01-Aug-2009,August 01 (2009),08/01/09,9961,307685,4.9,16.3,14814
2009-09-01,20090901,2009m9,Sep 2009,"September 01, 2009",01-Sep-2009,September 01 (2009),09/01/09,9883.4,307946,5.9,17.8,15009
2009-10-01,20091001,2009m10,Oct 2009,"October 01, 2009",01-Oct-2009,October 01 (2009),10/01/09,9931.9,308189,5.4,18.9,15352
2009-11-01,20091101,2009m11,Nov 2009,"November 01, 2009",01-Nov-2009,November 01 (2009),11/01/09,9940.5,308418,5.9,19.8,15219
2009-12-01,20091201,2009m12,Dec 2009,"December 01, 2009",01-Dec-2009,December 01 (2009),12/01/09,9998.9,308633,5.9,20.1,15098
2010-01-01,20100101,2010m1,Jan 2010,"January 01, 2010",01-Jan-2010,January 01 (2010),01/01/10,10001.8,308833,6.1,20,15046
2010-02-01,20100201,2010m2,Feb 2010,"February 01, 2010",01-Feb-2010,February 01 (2010),02/01/10,10030.6,309027,5.8,19.9,15113
2010-03-01,20100301,2010m3,Mar 2010,"March 01, 2010",01-Mar-2010,March 01 (2010),03/01/10,10089.1,309212,5.7,20.4,15202
2010-04-01,20100401,2010m4,Apr 2010,"April 01, 2010",01-Apr-2010,April 01 (2010),04/01/10,10112.9,309191.211,6.4,22.1,15325
2010-05-01,20100501,2010m5,May 2010,"May 01, 2010",01-May-2010,May 01 (2010),05/01/10,10131,309369.053,7,22.3,14849
2010-06-01,20100601,2010m6,Jun 2010,"June 01, 2010",01-Jun-2010,June 01 (2010),06/01/10,10151.4,309548.502,6.9,25.2,14474
2010-07-01,20100701,2010m7,Jul 2010,"July 01, 2010",01-Jul-2010,July 01 (2010),07/01/10,10184.7,309745.698,6.8,22.3,14512
2010-08-01,20100801,2010m8,Aug 2010,"August 01, 2010",01-Aug-2010,August 01 (2010),08/01/10,10228.2,309957.775,6.9,21,14648
2010-09-01,20100901,2010m9,Sep 2010,"September 01, 2010",01-Sep-2010,September 01 (2010),09/01/10,10249,310176.466,6.7,20.3,14579
2010-10-01,20101001,2010m10,Oct 2010,"October 01, 2010",01-Oct-2010,October 01 (2010),10/01/10,10304.7,310399.958,6.6,21.2,14516
2010-11-01,20101101,2010m11,Nov 2010,"November 01, 2010",01-Nov-2010,November 01 (2010),11/01/10,10354.7,310595.764,6.6,21,15081
2010-12-01,20101201,2010m12,Dec 2010,"December 01, 2010",01-Dec-2010,December 01 (2010),12/01/10,10392.1,310781.705,7.1,21.9,14348
2011-01-01,20110101,2011m1,Jan 2011,"January 01, 2011",01-Jan-2011,January 01 (2011),01/01/11,10435.5,310960.74,7.4,21.5,14013
2011-02-01,20110201,2011m2,Feb 2011,"February 01, 2011",01-Feb-2011,February 01 (2011),02/01/11,10470.1,311113.376,7.6,21.1,13820
2011-03-01,20110301,2011m3,Mar 2011,"March 01, 2011",01-Mar-2011,March 01 (2011),03/01/11,10550.5,311265.404,7,21.5,13737
2011-04-01,20110401,2011m4,Apr 2011,"April 01, 2011",01-Apr-2011,April 01 (2011),04/01/11,10587.6,311436.238,6.9,20.9,13957
2011-05-01,20110501,2011m5,May 2011,"May 01, 2011",01-May-2011,May 01 (2011),05/01/11,10612,311607.08,6.9,21.6,13855
2011-06-01,20110601,2011m6,Jun 2011,"June 01, 2011",01-Jun-2011,June 01 (2011),06/01/11,10636.8,311791.223,7.2,22.4,13962
2011-07-01,20110701,2011m7,Jul 2011,"July 01, 2011",01-Jul-2011,July 01 (2011),07/01/11,10677.5,311997.049,7.3,22,13763
2011-08-01,20110801,2011m8,Aug 2011,"August 01, 2011",01-Aug-2011,August 01 (2011),08/01/11,10700.6,312205.367,7.2,22.4,13818
2011-09-01,20110901,2011m9,Sep 2011,"September 01, 2011",01-Sep-2011,September 01 (2011),09/01/11,10738.1,312429.118,6.8,22,13948
2011-10-01,20111001,2011m10,Oct 2011,"October 01, 2011",01-Oct-2011,October 01 (2011),10/01/11,10753.1,312644.159,6.8,20.6,13594
2011-11-01,20111101,2011m11,Nov 2011,"November 01, 2011",01-Nov-2011,November 01 (2011),11/01/11,10759.5,312829.523,7,20.8,13302
2011-12-01,20111201,2011m12,Dec 2011,"December 01, 2011",01-Dec-2011,December 01 (2011),12/01/11,10772.2,313009.712,7.8,20.5,13093
2012-01-01,20120101,2012m1,Jan 2012,"January 01, 2012",01-Jan-2012,January 01 (2012),01/01/12,10862.1,313183.179,8,20.8,12797
2012-02-01,20120201,2012m2,Feb 2012,"February 01, 2012",01-Feb-2012,February 01 (2012),02/01/12,10953.5,313338.977,8,19.7,12813
2012-03-01,20120301,2012m3,Mar 2012,"March 01, 2012",01-Mar-2012,March 01 (2012),03/01/12,10951.8,313499.369,8.5,19.2,12713
2012-04-01,20120401,2012m4,Apr 2012,"April 01, 2012",01-Apr-2012,April 01 (2012),04/01/12,10979.7,313667.127,8.7,19.1,12646
2012-05-01,20120501,2012m5,May 2012,"May 01, 2012",01-May-2012,May 01 (2012),05/01/12,10968.6,313830.53,8.8,19.9,12660
2012-06-01,20120601,2012m6,Jun 2012,"June 01, 2012",01-Jun-2012,June 01 (2012),06/01/12,10946.3,314017.594,9.1,20.4,12692
2012-07-01,20120701,2012m7,Jul 2012,"July 01, 2012",01-Jul-2012,July 01 (2012),07/01/12,10977.2,314210.786,8.2,17.5,12656
2012-08-01,20120801,2012m8,Aug 2012,"August 01, 2012",01-Aug-2012,August 01 (2012),08/01/12,11004.1,314422.341,8,18.4,12471
2012-09-01,20120901,2012m9,Sep 2012,"September 01, 2012",01-Sep-2012,September 01 (2012),09/01/12,11061.5,314646.749,8.2,18.8,12115
2012-10-01,20121001,2012m10,Oct 2012,"October 01, 2012",01-Oct-2012,October 01 (2012),10/01/12,11099.8,314853.978,8.8,19.9,12124
2012-11-01,20121101,2012m11,Nov 2012,"November 01, 2012",01-Nov-2012,November 01 (2012),11/01/12,11136.8,315053.863,9.7,18.6,12005
2012-12-01,20121201,2012m12,Dec 2012,"December 01, 2012",01-Dec-2012,December 01 (2012),12/01/12,11140.5,315232.752,12,17.7,12298
2013-01-01,20130101,2013m1,Jan 2013,"January 01, 2013",01-Jan-2013,January 01 (2013),01/01/13,11202.8,315389.595,6.3,15.8,12471
2013-02-01,20130201,2013m2,Feb 2013,"February 01, 2013",01-Feb-2013,February 01 (2013),02/01/13,11239.6,315520.143,5.8,17.2,11950
2013-03-01,20130301,2013m3,Mar 2013,"March 01, 2013",01-Mar-2013,March 01 (2013),03/01/13,11227.1,315662.224,5.9,17.6,11689
2013-04-01,20130401,2013m4,Apr 2013,"April 01, 2013",01-Apr-2013,April 01 (2013),04/01/13,11205.4,315817.855,6.4,17.1,11760
2013-05-01,20130501,2013m5,May 2013,"May 01, 2013",01-May-2013,May 01 (2013),05/01/13,11244.6,315983.654,6.7,17.1,11654
2013-06-01,20130601,2013m6,Jun 2013,"June 01, 2013",01-Jun-2013,June 01 (2013),06/01/13,11268.8,316171.042,6.8,17,11751
2013-07-01,20130701,2013m7,Jul 2013,"July 01, 2013",01-Jul-2013,July 01 (2013),07/01/13,11296.7,316358.778,6.6,16.2,11335
2013-08-01,20130801,2013m8,Aug 2013,"August 01, 2013",01-Aug-2013,August 01 (2013),08/01/13,11329.2,316580.327,6.7,16.5,11279
2013-09-01,20130901,2013m9,Sep 2013,"September 01, 2013",01-Sep-2013,September 01 (2013),09/01/13,11366.9,316806.125,6.8,16.5,11270
2013-10-01,20131001,2013m10,Oct 2013,"October 01, 2013",01-Oct-2013,October 01 (2013),10/01/13,11419.8,317022.27,6.3,16.3,11136
2013-11-01,20131101,2013m11,Nov 2013,"November 01, 2013",01-Nov-2013,November 01 (2013),11/01/13,11487.6,317228.026,6.2,17.1,10787
2013-12-01,20131201,2013m12,Dec 2013,"December 01, 2013",01-Dec-2013,December 01 (2013),12/01/13,11517.9,317411.551,6.4,17.3,10404
2014-01-01,20140101,2014m1,Jan 2014,"January 01, 2014",01-Jan-2014,January 01 (2014),01/01/14,11512.5,317593.923,7.1,15.4,10202
2014-02-01,20140201,2014m2,Feb 2014,"February 01, 2014",01-Feb-2014,February 01 (2014),02/01/14,11566.2,317753.883,7.3,15.9,10349
2014-03-01,20140301,2014m3,Mar 2014,"March 01, 2014",01-Mar-2014,March 01 (2014),03/01/14,11643,317917.203,7.4,15.8,10380
2014-04-01,20140401,2014m4,Apr 2014,"April 01, 2014",01-Apr-2014,April 01 (2014),04/01/14,11702.6,318089.218,7.4,15.7,9702
2014-05-01,20140501,2014m5,May 2014,"May 01, 2014",01-May-2014,May 01 (2014),05/01/14,11748.4,318269.505,7.4,14.6,9859
2014-06-01,20140601,2014m6,Jun 2014,"June 01, 2014",01-Jun-2014,June 01 (2014),06/01/14,11817,318464.152,7.4,13.8,9460
2014-07-01,20140701,2014m7,Jul 2014,"July 01, 2014",01-Jul-2014,July 01 (2014),07/01/14,11860.5,318662.368,7.5,13.1,9608
2014-08-01,20140801,2014m8,Aug 2014,"August 01, 2014",01-Aug-2014,August 01 (2014),08/01/14,11944.3,318893.786,7.2,12.9,9599
2014-09-01,20140901,2014m9,Sep 2014,"September 01, 2014",01-Sep-2014,September 01 (2014),09/01/14,11957.4,319125.296,7.4,13.4,9262
2014-10-01,20141001,2014m10,Oct 2014,"October 01, 2014",01-Oct-2014,October 01 (2014),10/01/14,12023,319353.734,7.2,13.6,8990
2014-11-01,20141101,2014m11,Nov 2014,"November 01, 2014",01-Nov-2014,November 01 (2014),11/01/14,12051.4,319564.209,7.3,13,9090
2014-12-01,20141201,2014m12,Dec 2014,"December 01, 2014",01-Dec-2014,December 01 (2014),12/01/14,12062,319746.157,7.6,12.9,8717
